cycle,controlled_error,open_loop_error,controlled_vc1_v,controlled_vc2_v,controlled_il_a,open_vc1_v,open_vc2_v,open_il_a,offset_1_us,offset_2_us,offset_3_us,offset_4_us,offset_5_us,offset_6_us,offset_7_us,offset_8_us,dwell_1_us,dwell_2_us,dwell_3_us,dwell_4_us,dwell_5_us,dwell_6_us,dwell_7_us,dwell_8_us,dwell_9_us
97,5.22151004547596e-05,0.0519838560597681,9.92459165737184,19.2917896665718,0.982307556545143,10.3884844316391,18.8236552793887,0.983358006777382,-0.000919724051319498,0.000523225919652968,0.000471902242539937,0.00046117344595108,-0.000560813802458531,0.000454950691075546,-0.000392728037071902,0.000413830377684479,63.8882637820677,23.66904232585,21.9999486763229,22.9812662407044,21.9989780127516,63.6730240224185,22.1692416518968,23.4482339495668,22.1720013384213
98,4.91588064850077e-05,0.0520325239537131,9.92459799891073,19.2918488039904,0.982307114169745,10.3892639078288,18.8245845362013,0.98335971839264,-0.000865890353526147,0.000492600034782985,0.000444280552270699,0.00043417993857834,-0.00052798779569602,0.000428321206628649,-0.000369740927260344,0.00038960810170709,63.8883176157655,23.6689578662673,21.9999516805175,22.9812668688873,21.9990378322658,63.6729645669273,22.1692912684911,23.448186740181,22.1720255606973
99,4.6281407840423e-05,0.0520811012686676,9.92460396927241,19.291904479911,0.98230669769593,10.3900414661669,18.8255152116337,0.983361425653011,-0.000815207694078255,0.000463766800335965,0.000418275638924522,0.0004087664362557,-0.000497083220217289,0.000403250423504036,-0.000348099284021973,0.000366803588989131,63.8883682984249,23.6688783503734,21.9999545088386,22.9812674602983,21.9990941503436,63.6729085915687,22.1693379809175,23.448142294025,22.17204836521
100,4.35724329381965e-05,0.0521295874734472,9.92460959018036,19.2919568969502,0.982306305606686,10.3908171044101,18.8264473018866,0.983363128553611,-0.000767491631336824,0.000436621280818908,0.000393792868374842,0.000384840453773416,-0.00046798760230401,0.00037964710685763,-0.000327724357795154,0.000345333858391307,63.8884160144877,23.6688034887912,21.9999571715876,22.9812680170864,21.9991471719439,63.6728558926341,22.1693819591603,23.4481004493682,22.1720698349406
101,4.10220231722246e-05,0.0521779820395341,9.92461488208711,19.2920062458638,0.982305936473899,10.3915908203223,18.8273808031568,0.983364827089574,-0.000722568520000025,0.00041106468408823,0.000370743145382686,0.000362314920154673,-0.000440595052872798,0.000357425361761185,-0.000308542007707346,0.000325120785119312,63.888460937599,23.6687330090831,21.9999596784613,22.9812685412758,21.999197090027,63.6728062783396,22.1694233632555,23.4480610539448,22.1720900480139
102,3.86208970284936e-05,0.0522262844410633,9.92461986424849,19.2920527062416,0.982305588953134,10.3923626116753,18.8283157116372,0.983366521256053,-0.000680274879104902,0.000387004001530245,0.000349042589515862,0.000341107861548459,-0.000414805881817161,0.000336504320769215,-0.000290482431986942,0.000306090816647601,63.8885032312399,23.6686666547596,21.999962038588,22.981269034773,21.9992440862567,63.6727595681275,22.1694623438722,23.4480239644007,22.1721090779824
103,3.63603163018953e-05,0.0522744941548145,9.92462455479356,19.2920964471607,0.982305261778735,10.3931324762486,18.8292520235167,0.983368211048216,-0.000640456797029894,0.000364351669387889,0.000328612229973782,0.000321142102760754,-0.000390526235010945,0.000316807849709291,-0.000273479914079697,0.000288174705192162,63.888543049322,23.6686041843454,21.9999642605606,22.9812694993738,21.9992883316622,63.6727155920097,22.1694990428612,23.4479890457713,22.1721269940938
104,3.42320542885759e-05,0.0523226106601996,9.92462897079056,19.2921376278011,0.982304953759198,10.3939004118291,18.83018973498,0.983369896461248,-0.000602969371293346,0.000343025249912143,0.000309377718238781,0.000302344986262305,-0.000367667752559408,0.000298264270657322,-0.000257472583594721,0.00027130725580978,63.8885805367477,23.6685453705002,21.9999663524683,22.981269936769,21.9993299872612,63.6726741899482,22.1695335937708,23.4479561709914,22.1721438615432
105,3.22283658450318e-05,0.0523706334392523,9.92463312830886,19.2921763980252,0.982304663772825,10.3946664162117,18.8311288422082,0.983371577490354,-0.000567676181225693,0.000322947131223446,0.000291269057593868,0.000284648107681024,-0.000346147247104194,0.000280806101173585,-0.000242402191278723,0.000255427089279506,63.8886158299378,23.6684899991915,21.9999683219264,22.9812703485511,21.9993692046452,63.6726352112732,22.1695661223326,23.4479252204326,22.1721597417098
106,3.03419591957474e-05,0.0524185619766163,9.92463704247743,19.2922128989232,0.982304390763635,10.3954304871986,18.8320693413783,0.983373254130755,-0.000534448791439568,0.00030404424474671,0.000274220348392991,0.000267987066790544,-0.000325886400962115,0.000264369808723219,-0.000228213897090113,0.000240476418788043,63.8886490573275,23.6684378689152,21.9999701761036,22.9812707362194,21.9994061265323,63.6725985141347,22.1695967469192,23.4478960814679,22.1721746923802
