controlled_time_s,controlled_vc1_v,controlled_vc2_v,controlled_il_a,open_time_s,open_vc1_v,open_vc2_v,open_il_a
0.0275701530382759,10.4394973018507,19.8389549207738,0.956776226649785,0.0275701530382759,7.48033139538703,20.5462134578398,0.955629511768629
0.0275709190808415,10.4394973018507,19.8389549207738,0.958340823680846,0.0275709190808415,7.48033139538703,20.5462134578398,0.957194986895727
0.0275716851234072,10.4394973018507,19.8389549207738,0.959904222622935,0.0275716851234072,7.48033139538703,20.5462134578398,0.958759263261452
0.0275724511659729,10.4394973018507,19.8389549207738,0.961466424393488,0.0275724511659728,7.48033139538703,20.5462134578398,0.960322341783754
0.0275732172085385,10.4394973018507,19.8389549207738,0.963027429909238,0.0275732172085385,7.48033139538703,20.5462134578398,0.961884223379882
0.0275739832511042,10.4394973018507,19.8389549207738,0.964587240086217,0.0275739832511042,7.48033139538703,20.5462134578398,0.96344490896638
0.0275747492936698,10.4394973018507,19.8389549207738,0.966145855839754,0.0275747492936698,7.48033139538703,20.5462134578398,0.965004399459092
0.0275755153362355,10.4394973018507,19.8389549207738,0.967703278084477,0.0275755153362355,7.48033139538703,20.5462134578398,0.96656269577316
0.0275762813788011,10.4394973018507,19.8389549207738,0.969259507734316,0.0275762813788011,7.48033139538703,20.5462134578398,0.968119798823026
0.0275770474213668,10.4394973018507,19.8389549207738,0.970814545702499,0.0275770474213668,7.48033139538703,20.5462134578398,0.96967570952243
0.0275778134639324,10.4394973018507,19.8389549207738,0.972368392901556,0.0275778134639324,7.48033139538703,20.5462134578398,0.971230428784415
0.0275785795064981,10.4394973018507,19.8389549207738,0.973921050243316,0.0275785795064981,7.48033139538703,20.5462134578398,0.972783957521321
0.0275793455490637,10.4394973018507,19.8389549207738,0.975472518638913,0.0275793455490637,7.48033139538703,20.5462134578398,0.974336296644794
0.0275801115916294,10.4394973018507,19.8389549207738,0.97702279899878,0.0275801115916294,7.48033139538703,20.5462134578398,0.975887447065778
0.027580877634195,10.4394973018507,19.8389549207738,0.978571892232655,0.027580877634195,7.48033139538703,20.5462134578398,0.977437409694522
0.0275816436767607,10.4394973018507,19.8389549207738,0.98011979924958,0.0275816436767607,7.48033139538703,20.5462134578398,0.978986185440577
0.0275824097193263,10.4394973018507,19.8389549207738,0.981666520957898,0.0275824097193263,7.48033139538703,20.5462134578398,0.980533775212796
0.027583175761892,10.4394973018507,19.8389549207738,0.983212058265259,0.027583175761892,7.48033139538703,20.5462134578398,0.982080179919339
0.0275839418044576,10.4394973018507,19.8389549207738,0.984756412078617,0.0275839418044576,7.48033139538703,20.5462134578398,0.983625400467669
0.0275847078470233,10.4394973018507,19.8389549207738,0.986299583304232,0.0275847078470233,7.48033139538703,20.5462134578398,0.985169437764554
0.0275854738895889,10.4394973018507,19.8389549207738,0.987841572847669,0.0275854738895889,7.48033139538703,20.5462134578398,0.986712292716068
0.0275862399321545,10.4394973018507,19.8389549207738,0.989382381613801,0.0275862399321545,7.48033139538703,20.5462134578398,0.988253966227591
0.0275870059747202,10.4394973018507,19.8389549207738,0.990922010506806,0.0275870059747202,7.48033139538703,20.5462134578398,0.989794459203809
0.0275877720172858,10.4394973018507,19.8389549207738,0.992460460430172,0.0275877720172858,7.48033139538703,20.5462134578398,0.991333772548718
0.0275885380598515,10.4394973018507,19.8389549207738,0.993997732286695,0.0275885380598515,7.48033139538703,20.5462134578398,0.992871907165617
0.0275892713931848,10.4577202221836,19.820732000441,0.993956772675431,0.0275892713931848,7.49853614721721,20.5280087060096,0.993100546813088
0.0275900047265182,10.4759423673722,19.8025098552524,0.99391317143121,0.0275900047265182,7.5167450647665,20.5097997884604,0.993326349495404
0.0275907380598515,10.4941636890053,19.7842885336192,0.993866930607715,0.0275907380598515,7.53495809603736,20.4915867571895,0.993549316685309
0.0275914713931848,10.5123841387096,19.7660680839149,0.993818052264217,0.0275914713931848,7.55317518905932,20.4733696641675,0.993769449862086
0.0275922047265182,10.5306036681494,19.7478485544751,0.993766538465571,0.0275922047265182,7.57139629188908,20.4551485613378,0.993986750511554
0.0275929380598515,10.5488222290271,19.7296299935974,0.993712391282197,0.0275929380598515,7.58962135261064,20.4369235006162,0.994201220126055
0.0275936713931848,10.5670397730829,19.7114124495417,0.99365561279008,0.0275936713931848,7.60785031933542,20.4186945338914,0.994412860204448
0.0275944047265182,10.5852562520952,19.6931959705293,0.993596205070754,0.0275944047265182,7.62608314020239,20.4004617130245,0.994621672252095
0.0275951380598515,10.6034716178807,19.6749806047438,0.993534170211295,0.0275951380598515,7.64431976337816,20.3822250898487,0.994827657780861
0.0275958713931848,10.6216858222943,19.6567664003302,0.993469510304308,0.0275958713931848,7.66256013705713,20.3639847161697,0.995030818309097
0.0275966047265182,10.6398988172294,19.6385534053951,0.993402227447923,0.0275966047265182,7.68080420946159,20.3457406437653,0.995231155361634
0.0275973380598515,10.6581105546178,19.6203416680067,0.99333232374578,0.0275973380598515,7.69905192884184,20.327492924385,0.995428670469777
0.0275980713931848,10.67632098643,19.6021312361945,0.993259801307023,0.0275980713931848,7.71730324347633,20.3092416097505,0.99562336517129
0.0275988047265182,10.6945300646753,19.5839221579493,0.993184662246288,0.0275988047265182,7.73555810167174,20.2909867515551,0.995815241010393
0.0275995380598515,10.7127377414016,19.565714481223,0.993106908683694,0.0275995380598515,7.75381645176313,20.2727284014637,0.996004299537752
0.0276002713931848,10.7309439686958,19.5475082539287,0.993026542744835,0.0276002713931848,7.77207824211406,20.2544666111128,0.996190542310466
0.0276010047265182,10.749148698684,19.5293035239405,0.992943566560765,0.0276010047265182,7.79034342111668,20.2362014321102,0.996373970892063
