cycle,time_s,normalized_error,vc1_v,vc2_v,il_a
28290,8.09094,0.00438889271753083,9.96849032504791,19.2872584452478,0.982398394793072
28377,8.115822,0.004328853482704,9.96796875117865,19.2945579912003,0.982396942542107
28464,8.140704,0.00418348259732066,9.96629125577396,19.3016220001577,0.982392907785358
28552,8.165872,0.00395750980262606,9.96349533591604,19.3083388755335,0.982386378917478
28640,8.19104,0.00366439632527303,9.95969976736306,19.3144512033226,0.982377632214317
28728,8.216208,0.00332117439625071,9.95503551910091,19.3198057591356,0.982366967252202
28816,8.241376,0.00295070668770525,9.94965416263807,19.3242742585745,0.982354728832904
28905,8.26683,0.00257966673654884,9.94365326817182,19.3277898520584,0.982341138304011
28994,8.292284,0.00225460666623972,9.93727463075605,19.3302236430981,0.98232674277663
29083,8.317738,0.00202786366700572,9.9307085304803,19.33153532432,0.982311970429968
29173,8.343478,0.00194666698834095,9.92407252486219,19.331713065248,0.98229708529218
29262,8.368932,0.00202384069559214,9.91770123082301,19.3307779350934,0.982282836774402
29353,8.394958,0.00222592259725173,9.91156615404837,19.3287377308746,0.982269160688845
29443,8.420698,0.00248875214390314,9.90604206841657,19.3257292868064,0.98225689199463
29533,8.446438,0.00276278212551943,9.90120440159912,19.3218491911566,0.982246196061511
29624,8.472464,0.00301463512373786,9.89713484548352,19.3171779433011,0.982237252927366
29715,8.49849,0.00321707086824047,9.89398924488023,19.3119122643434,0.982230404380987
29807,8.524802,0.00335621581893693,9.89181766413241,19.3061595314753,0.982225758508231
29899,8.551114,0.003420920282137,9.89069792001608,19.3001600517761,0.982223480466253
29991,8.577426,0.00340795989139395,9.89063518834714,19.2941016677264,0.982223574580606
30083,8.603738,0.00331865662261521,9.89160259249429,19.2881688873182,0.982225973442896
30175,8.63005,0.00315844635285266,9.89354288722025,19.2825374044557,0.982230541898368
30268,8.656648,0.002934058924788,9.89640624847004,19.2773159481003,0.982237164025808
30361,8.683246,0.00266100903626012,9.90006352672247,19.2727157248513,0.982245542081412
30455,8.71013,0.00235541031059977,9.90442953461958,19.2688245276827,0.982255481668973
30549,8.737014,0.00204736788275935,9.90931276468937,19.2657968441247,0.982266547432961
30643,8.763898,0.00177430133465466,9.91454499439535,19.2637040516621,0.982278359444318
