cycle,conditioned_error,conservative_error,open_loop_error,beta,maximum_raw_offset_us,maximum_applied_offset_us,minimum_raw_dwell_us,minimum_applied_dwell_us,minimum_conservative_dwell_us,conditioned_vc1_v,conditioned_vc2_v,conditioned_il_a,conservative_vc1_v,conservative_vc2_v,conservative_il_a,open_vc1_v,open_vc2_v,open_il_a,raw_offset_1_us,applied_offset_1_us,raw_offset_2_us,applied_offset_2_us,raw_offset_3_us,applied_offset_3_us,raw_offset_4_us,applied_offset_4_us,raw_offset_5_us,applied_offset_5_us,raw_offset_6_us,applied_offset_6_us,raw_offset_7_us,applied_offset_7_us,raw_offset_8_us,applied_offset_8_us,raw_dwell_1_us,applied_dwell_1_us,raw_dwell_2_us,applied_dwell_2_us,raw_dwell_3_us,applied_dwell_3_us,raw_dwell_4_us,applied_dwell_4_us,raw_dwell_5_us,applied_dwell_5_us,raw_dwell_6_us,applied_dwell_6_us,raw_dwell_7_us,applied_dwell_7_us,raw_dwell_8_us,applied_dwell_8_us,raw_dwell_9_us,applied_dwell_9_us
65,1.74626470981492e-15,2.57223252642199e-05,0.296427274191774,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000437823115,9.9247,19.2928,0.982300000000001,9.92474492934872,19.2933013572888,0.982296387006014,6.994659954741,20.1814333067415,0.975696263790387,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
66,1.74626470981492e-15,2.42122134343968e-05,0.296486055568827,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000388717992,9.9247,19.2928,0.982300000000001,9.92474336374021,19.2932714939153,0.982296585199959,6.99363523560969,20.1757355308326,0.975694189130708,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
67,1.74626470981492e-15,2.27917157898018e-05,0.29654404185289,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000346837639,9.9247,19.2928,0.982300000000001,9.92474169257781,19.293243474484,0.982296774236005,6.99262144935206,20.1700362631934,0.975692138538229,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
68,1.74626470981492e-15,2.14552470277678e-05,0.296601232722152,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000310953022,9.9247,19.2928,0.982300000000001,9.92473995857857,19.2932171732789,0.982296954202315,6.99161859630759,20.1643355248955,0.975690112137808,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
69,1.74626470981492e-15,2.0197645055316e-05,0.296657627859991,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000280056425,9.9247,19.2928,0.982300000000001,9.92473819518886,19.2931924752384,0.982297125263606,6.99062667679008,20.1586333370183,0.975688110023203,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
70,1.74626470981492e-15,1.90141185891604e-05,0.296713226955124,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000253320815,9.9247,19.2928,0.982300000000001,9.92473642838147,19.2931692747212,0.982297287641867,6.9896456910842,20.1529297206472,0.975686132264776,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
71,1.74626470981492e-15,1.79002058134466e-05,0.296768029701708,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000230066714,9.9247,19.2928,0.982300000000001,9.92473467811507,19.2931474744568,0.982297441600864,6.98867563944284,20.1472246968712,0.97568417891529,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
72,1.74626470981492e-15,1.68517411309113e-05,0.296822035799424,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000209735194,9.9247,19.2928,0.982300000000001,9.92473295951895,19.2931269846505,0.982297587433726,6.98771652208519,20.141518286782,0.975682250014257,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
73,1.74626470981492e-15,1.58648278813959e-05,0.29687524495353,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000191865848,9.9247,19.2928,0.982300000000001,9.92473128385406,19.2931077222154,0.982297725453057,6.98676833919521,20.1358105114729,0.975680345591209,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
74,1.74626470981492e-15,1.49358155150931e-05,0.2969276568749,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000176078835,9.9247,19.2928,0.982300000000001,9.92472965929212,19.2930896101107,0.982297855983107,6.98583109092054,20.1301013920379,0.975678465668157,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
75,1.74626470981492e-15,1.40612801285721e-05,0.296979271280058,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000162060227,9.9247,19.2928,0.982300000000001,9.92472809154671,19.2930725767687,0.982297979353615,6.98490477737167,20.1243909495713,0.97567661026144,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
76,1.74626470981492e-15,1.3238007585064e-05,0.29703008789119,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000149550054,9.9247,19.2928,0.982300000000001,9.92472658438403,19.2930565555957,0.982298095895002,6.98398939862135,20.1186792051668,0.975674779383108,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
77,1.74626470981492e-15,1.24629786477341e-05,0.297080106436156,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000138332558,9.9247,19.2928,0.982300000000001,9.92472514003576,19.2930414845356,0.982298205934669,6.98308495470408,20.1129661799178,0.975672973041969,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
78,1.74626470981492e-15,1.17333557147701e-05,0.297129326648503,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000128228228,9.9247,19.2928,0.982300000000001,9.92472375953235,19.2930273056856,0.982298309794173,6.9821914456158,20.1072518949164,0.975671191244371,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
79,1.74626470981492e-15,1.10464708512159e-05,0.297177748267459,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000119087303,9.9247,19.2928,0.982300000000001,9.9247224429717,19.2930139649566,0.982298407787131,6.98130887131361,20.1015363712535,0.975669433994793,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
80,1.74626470981492e-15,1.03998148977019e-05,0.29722537103794,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000110784464,9.9247,19.2928,0.982300000000001,9.92472118973541,19.2930014117713,0.982298500217671,6.9804372317156,20.0958196300187,0.975667701296287,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
81,1.74626470981492e-15,9.79102747832054e-06,0.29727219471054,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000103214503,9.9247,19.2928,0.982300000000001,9.92471999866234,19.2929895987944,0.982298587379366,6.97957652670069,20.0901016922998,0.975665993150808,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
82,1.74626470981492e-15,9.21788778882816e-06,0.297318219041535,1,1.70961251500991e-13,1.70961251500991e-13,21.9999999999999,21.9999999999999,22.0000096288772,9.9247,19.2928,0.982300000000001,9.92471886818766,19.292978481691,0.982298669554509,6.97872675610856,20.084382579183,0.975664309559468,-1.70961251500991e-13,-1.70961251500991e-13,1.57832405141118e-13,1.57832405141118e-13,1.59487942514778e-13,1.59487942514778e-13,1.00997931470883e-14,1.00997931470883e-14,-1.69157675790378e-13,-1.69157675790378e-13,1.61144744039588e-13,1.61144744039588e-13,2.48062465609072e-15,2.48062465609072e-15,3.1208115483258e-16,3.1208115483258e-16,63.8891835061188,63.8891835061188,23.6675993758793,23.6675993758793,22,22,22.9812769695008,22.9812769695008,21.9999999999999,21.9999999999999,63.6720082579253,63.6720082579253,22.1700893306248,22.1700893306248,23.447427391152,23.447427391152,22.172415168799,22.172415168799
